       	& 1st place	& 		& 2nd place	& 		& 3rd place	& 		& MSTA* a=b=1	& 	& MSTA* a=b=0	& 	& ML-OA-C2C-RMST	& 	& LOCAL 3 step	& 	& Global 3 step	& 	& LOCAL 2 step	& 	& Global 2 step	& 
       	& cost		& time	& cost		& time	& cost		& time	& cost		& time	& cost		& time	& cost		& time	& cost		& time	& cost		& time		& cost		& time		& cost		& time
Case 1 	& 3627		& 0.04	& 3598		& 0.05	& 3598		& 0.08	& 3571		& 0.09	& 3598		& 0.06	& 3571		& 0.03	& 3547		& 0.04	& 3547		& 0.072		& 3547		& 0.04		& 3547		& 0.074
Case 2 	& 65409		& 0.6	& 66184		& 0.92	& 64725		& 2.54	& 64644		& 1.68	& 64816		& 0.97	& 64954		& 0.31	& 64618		& 0.24	& 64618		& 0.243		& 64618		& 0.36		& 64618		& 0.367
Case 3 	& 737928	& 33.46	& 769758	& 25.41	& 733630	& 54.6	& 730262	& 55.89	& 731047	& 40.01	& 734081	& 9.77	& 729646	& 8.211	& 728650	& 17.573	& 729646	& 13.246	& 728650	& 25.747
Case A 	& 1262466	& 38.31	& 1281961	& 23.79	& 1261068	& 51.27	& 1258068	& 33.53	& 1259020	& 23.51	& 1259918	& 10.61	& 1257530	& 7.939	& 1257428	& 18.446	& 1257530	& 10.631	& 1257428	& 21.304
Case 4 	& 9998		& 0.05	& 9729		& 0.07	& 10423		& 0.06	& 9622		& 0.1	& 10421		& 0.05	& 9711		& 0.04	& 9639		& 0.059	& 9639		& 0.103		& 9639		& 0.064		& 9639		& 0.104
Case 5 	& 21171		& 0.6	& 21919		& 0.86	& 20757		& 2.87	& 20285		& 1.88	& 20536		& 1.16	& 20695		& 0.35	& 20514		& 0.268	& 20514		& 0.299		& 20514		& 0.421		& 20514		& 0.454
Case 6 	& 1542681	& 54.16	& 1582295	& 37.68	& 1541891	& 42.98	& 1534896	& 26.73	& 1538632	& 19.01	& 1537338	& 14.71	& 1533323	& 8.773	& 1533323	& 13.278	& 1533323	& 13.181	& 1533323	& 17.819
Case B 	& 5326864	& 54.17	& 5335452	& 40.41	& 5324583	& 34.1	& 5312990	& 22.96	& 5347929	& 15.46	& 5314656	& 15.21	& 5311440	& 8.199	& 5311440	& 14.904	& 5311440	& 8.547		& 5311440	& 14.723
		& 1.00		& 2.79	& 1.02		& 1.99	& 1.00		& 2.90	& 1.00		& 2.20	& 1.01		& 1.54	& 1.00		& 0.79	& 1.00		& 0.52	& 1.00		& 1.00		& 1.00		& 0.72		& 1.00		& 1.24
		& 1.02		& 2.15	& 1.03		& 2.04	& 1.02		& 4.14	& 1.00		& 3.00	& 1.01		& 1.90	& 1.01		& 0.81	& 1.00		& 0.64	& 1.00		& 1.00		& 1.00		& 0.87		& 1.00		& 1.25
	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 	& 
Case 1 	& 1.02255427121511	& 0.555555555555555	& 1.01437834789963	& 0.694444444444444	& 1.01437834789963	& 1.11111111111111	& 1.00676628136453	& 1.25	& 1.01437834789963	& 0.833333333333333	& 1.00676628136453	& 0.416666666666667	& 1	& 0.555555555555555	& 1	& 1	& 1	& 0.555555555555555	& 1	& 1.02777777777778
Case 2 	& 1.01224117119069	& 2.46913580246914	& 1.02423473335603	& 3.78600823045267	& 1.00165588535702	& 10.4526748971193	& 1.00040236466619	& 6.91358024691358	& 1.00306416168869	& 3.9917695473251	& 1.00519978953233	& 1.27572016460905	& 1	& 0.987654320987654	& 1	& 1	& 1	& 1.48148148148148	& 1	& 1.51028806584362
Case 3 	& 1.01273313662252	& 1.90405736072384	& 1.05641666094833	& 1.44596824674216	& 1.00683455705757	& 3.10703920787572	& 1.00221231043711	& 3.18044727707278	& 1.00328964523434	& 2.27678825470893	& 1.0074535099156	& 0.555966539577761	& 1.00136691141151	& 0.46725089626131	& 1	& 1	& 1.00136691141151	& 0.753769988049849	& 1	& 1.46514539350139
Case A 	& 1.00400659123226	& 2.07687303480429	& 1.01951046103634	& 1.28971050634284	& 1.00289479795265	& 2.77946438252196	& 1.0005089754642	& 1.81773826303806	& 1.0012660764672	& 1.27453106364523	& 1.00198023266541	& 0.575192453648487	& 1.00008111796461	& 0.430391412772417	& 1	& 1	& 1.00008111796461	& 0.576330911850808	& 1	& 1.15493874010626
Case 4 	& 1.03724452744061	& 0.485436893203883	& 1.0093370681606	& 0.679611650485437	& 1.08133623819898	& 0.58252427184466	& 0.998236331569665	& 0.970873786407767	& 1.08112874779541	& 0.485436893203883	& 1.00746965452848	& 0.388349514563107	& 1	& 0.572815533980582	& 1	& 1	& 1	& 0.621359223300971	& 1	& 1.00970873786408
Case 5 	& 1.03202690845276	& 2.0066889632107	& 1.06848981183582	& 2.87625418060201	& 1.01184556887979	& 9.59866220735786	& 0.988836891878717	& 6.2876254180602	& 1.0010724383348	& 3.87959866220736	& 1.00882324266355	& 1.17056856187291	& 1	& 0.896321070234114	& 1	& 1	& 1	& 1.40802675585284	& 1	& 1.51839464882943
Case 6 	& 1.00610308460774	& 4.07892754932972	& 1.03193847610712	& 2.83777677361048	& 1.0055878637443	& 3.2369332730833	& 1.00102587647873	& 2.01310438319024	& 1.00346241463801	& 1.4316915198072	& 1.00261849590726	& 1.10784756740473	& 1	& 0.66071697544811	& 1	& 1	& 1	& 0.992694682934177	& 1	& 1.34199427624642
Case B 	& 1.00290392059404	& 3.6345947396672	& 1.0045208079165	& 2.71135265700483	& 1.00247447020017	& 2.28797638217928	& 1.00029182293314	& 1.54052603327966	& 1.00686988839185	& 1.03730542136339	& 1.00060548551805	& 1.02053140096618	& 1	& 0.55012077294686	& 1	& 1	& 1	& 0.573470209339775	& 1	& 0.987855609232421
